153.000,105.000,26.000,43.000
152.865,98.934,26.000,43.000
152.461,93.677,26.000,43.000
151.787,86.803,26.000,43.000
151.652,79.659,26.000,43.000
151.517,74.941,26.000,43.000
150.843,71.572,26.000,43.000
148.821,69.010,26.000,43.000
145.182,67.797,26.000,43.000
139.925,66.045,26.000,43.000
135.207,64.832,26.000,43.000
128.603,63.619,26.000,43.000
123.076,62.136,26.000,43.000
114.854,61.732,26.000,43.000
110.406,59.979,26.000,43.000
108.653,59.305,26.000,43.000
108.788,58.901,26.000,43.000
109.193,57.688,26.000,43.000
106.901,54.049,26.000,43.000
104.610,50.679,26.000,43.000
99.083,48.387,26.000,43.000
92.478,46.365,26.000,43.000
86.649,43.056,25.446,42.083
82.725,40.581,24.903,41.186
77.142,38.655,24.372,40.307
74.357,38.476,23.852,39.448
72.749,38.105,23.852,39.448
73.383,37.541,24.380,40.320
75.532,36.656,24.380,40.320
79.703,39.563,24.380,40.320
83.740,40.846,23.860,39.461
86.585,44.185,23.860,39.461
90.556,50.037,24.388,40.334
93.211,54.462,24.388,40.334
95.866,59.141,24.388,40.334
97.510,62.301,24.388,40.334
102.188,66.979,24.388,40.334
107.372,68.370,24.388,40.334
112.872,70.385,23.868,39.474
119.430,68.528,23.868,39.474
124.751,60.486,23.868,39.474
128.941,53.870,23.359,38.632
133.742,45.994,22.861,37.808
138.364,40.898,22.861,37.808
143.223,39.120,22.861,37.808
147.846,38.054,22.861,37.808
153.653,40.780,22.861,37.808
155.668,40.187,22.861,37.808
161.238,42.913,22.861,37.808
165.781,45.077,23.366,38.644
166.871,44.471,23.366,38.644
167.234,52.345,23.366,38.644
173.655,54.405,23.366,38.644
180.075,57.433,23.366,38.644
187.464,59.977,23.366,38.644
192.359,60.429,23.883,39.499
199.664,64.268,23.883,39.499
209.586,62.899,23.374,38.657
242.895,67.123,23.891,39.512
250.451,65.760,23.891,39.512
253.052,64.893,23.891,39.512
253.187,64.001,23.382,38.670
255.975,68.244,23.382,38.670
263.612,73.214,23.382,38.670
271.249,79.639,23.382,38.670
281.195,88.814,22.883,37.845
285.348,92.017,22.883,37.845
292.849,98.121,23.389,38.682
302.025,104.361,23.907,39.538
308.594,114.153,23.907,39.538
313.428,126.423,23.907,39.538
311.174,139.627,23.397,38.695
296.497,154.304,23.397,38.695
280.850,165.099,23.397,38.695
